Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
E & S Gage Co.,860-872-5917,/vlink.html,"Tolland, CT 06084",Custom Manufacturer,"Custom manufacturer of precision gages, fixtures, tooling, and parts for aerospace, electronics and telecommunication industries. Capabilities include jig grinding, CNC machining, lathe work, turning and milling.",,,Under $1 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace
Gauges: Chamfer
Gauges: Depth


Gauges: Measuring
Gauges: Precision
Gauges: Sight
Gauges: Thickness
Gauges: Tool Setting","All Products / Services

Fixtures
Gages
Machinery Parts
Machining
Manufacturing Services


Milling Services
Tooling
Tools
Turning Services"
Measure-All MSI,513-829-0900,/vlink.html,"Fairfield, OH 45014",Distributor,"Distributor of gaging, measuring and inspection equipment. Gage types include air, bore, coating thickness, electronic, groove, height, non-contact, snap, compensated temperature, thread, torque, and ultrasonic thickness gages. Inspection equipment includes gage blocks, hardness testers, micrometers and calipers, spring and force testers, surface plates, coordinate measuring machines, microscopes, optical comparators, SPC systems, and video and image inspection systems and accessories. Capabilities include design and build of specials to handle specific requirements, special work holders and slides to hold or move parts through gages, integration of gaging equipment to computers and process controllers, on-site demonstration equipment, set-up, calibration and training on major instruments and full certifications traceable to NIST standards. Meter repair and calibration services include electronic measurement using test equipment.","Measure-All, Inc. has specialized in the area of gaging and inspection equipment for over 25 years. We represent some of the finest manufacturers of measuring equipment produced in the world.

One of the keys to our success has been the ability to solve our customer's problems! Measure-All has the capability to provide a variety of standard gage systems or to design and build special products to handle the specific requirements. For example: champer gages, Universal run-out fixtures, thread depth gages, Snap OD gages, etc. Because of our diversity, Measure-All can usually find a standard product (that might require slight modification) to solve the gaging requirement.

Measure-All can also provide Turn-key Measuring Systems. If a customer needs a CMM, Optical Comparator or Laser System, we can also supply special work holding fixtures and slides to hold or move the part through the gage. Because of our knowledge of the equipment specifications and limitations, Measure-All can design a complete More... package that would optimize the measuring solution. 

 Measure-All is also very involved in the integration of gaging equipment to computers and process controllers. We have the capability of integrating about any type of gage to SPC Data Collection. Our knowledge of SPC and gage R&R aid in our ability of solving TOTAL customer needs. If required, we can supply full certification traceable to NIST standards and full gage R&R on gaging and fixtures supplied to our customers. 

 In conclusion, Measure-All has the ability to serve our customers total gaging requirements. Whether it be a $250,000.00 automated inspection system or a $20.00 go/nogo plug gage, we have the tools and knowledge to solve your problems. Please allow us the opportunity to work with you and help your specific gaging and measuring needs. Less",,$1 - 4.9 Mil,1-9  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: Air
Gauges: Air Flow


Gauges: Air Gap
Gauges: Air Pressure
Gauges: AMETEK
Gauges: Bore
Gauges: Brown & Sharpe

View all Gages categories","All Products / Services

Amplifiers
Analyzers
Blocks
Borescopes
Calibration Services
Calibrators
Calipers
Cameras
CMM Machinery
Comparators


Computer and Communication Terminals
Computers
Controls and Controllers
Gages
Heads
Holders
Indicators
Inspection Equipment
Instruments
Interfaces

View all products / services offered"
"Mausner Equipment Co., Inc.",516-481-1600,/vlink.html,"East Meadow, NY 11554",Manufacturer,"Thread & Cylindrical Ring & Plug Gages, Mechanical & Optical Measuring Instruments, Tool Room Accessories, Micrometers, Calipers, Indicators, Special Gages, Height Gages, Bore Gages, Pin Gages, Deltronic Gages, Knurling Cutters, Rotary Tables",,,$10 - 24.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Absolute Pressure
Gauges: American Gauge Design (AGD) Standard
Gauges: Bore


Gauges: Bourdon Tube
Gauges: Carbide
Gauges: Circumference Measuring
Gauges: Coating Thickness
Gauges: Combined Indicating & Recording

View all Gages categories","All Products / Services

Adapters
Agents
Anemometers
Angles
Arbors
Balls
Barometers
Barrels and Drums
Bars
Bases


Beds
Benches
Benders
Bins
Bits
Blades
Blanks
Blocks
Bolts
Boring Machinery

View all products / services offered"
Luzan & Co.,310-378-9456,/vlink.html,"Torrance, CA 90505",Manufacturers' Rep,"Mfr's rep. of solids processing and handling and air pollution control equipment. Various products include bin activators, chutes, controls, conveyors, fans, coolers, crushers, dust collectors, dryers, feeders, filters, elevators, mixers, nibblers, positioners, pulverizers, scales, towers, sifters and valves. Testing services are also available. Asphalt, aggregate, ceramics, electronics, chemicals, engineering contractors, food, mining, minerals, municipal waste treatment, plastics, pharmaceuticals, petro-chemical and power generation industries served.","Manufacturer's representative specializing in:

 - air pollution control equipment/systems,

 - solids processing equipment/systems, and

 - solids bulk material handling equipment/systems.",,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges


Gauges: Chemical","All Products / Services

Activators
Batchers
Blenders
Chutes
Classifiers
Collectors
Controls and Controllers
Conveyors
Coolers
Crushers
Dryers
Elevators
Fans


Feeders and Feed Systems
Filters
Fittings
Flowmeters
Gages
Handling Equipment
Maintenance and Repair Services
Mills
Mixers
Nibblers
Packaging Machinery
Pipes
Positioners

View all products / services offered"
"GB Instruments, Inc.",888-545-9775,/vlink.html,"North Canton, OH 44720",Distributor,"Gages: oil, pressure, air brake pressure, coolant temperature, fuel level, speedometers, tachometers, custom gages. Meters: voltmeters, ammeters, hour meters. Sensors: coolant temperature sensors, pressure sensors, fuel level sensors. Heavy duty & off highway.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges


Gauges: Automotive
Gauges: Custom","All Products / Services

Ammeters
Gages


Switches"
Electro Corp.,800-446-5762,/vlink.html,"Freeport, IL 61032 | Locations",Manufacturer,"Speed, Timing, Rate, Presence & Position Sensors Utilizing Variable Reluctance, Hall Effect, Magneto Resistive & Inductive Technologies. Applications Include: Factory Automation, Flow Meters, Engine Speed, Wheel Speed, RPM, Timing, Speedometer Input, Part Size, Part Wear, Material Thickness, Linear Position, Rotary Position & Stop Motion Detection. Complete Custom/OEM Manufacturing Capability",,,Not Available,200-499  Employees,Gauges: Electronic,"All Products / Services

Accumulators
Controls and Controllers
Electronics
Gages


Indicators
Instruments
Sensors / Detectors / Transducers
Switches"
Micro-Poise,330-541-9100,https://www.micropoise.com,"Streetsboro, OH 44241-",Manufacturer,Manufacturer Of Tire Balancing Equipment,,,Not Available,10-49  Employees,"Gauges: Electronic


Gauges: Precision","All Products / Services

Analyzers
Balancers
Custom Machinery
Gages


Machinery
Markers and Marking Equipment
Research, Design and Development Services
Testers"
"Setra Systems, Inc.",855-758-3836,https://www.setra.com/,"Boxborough, MA 01719",Manufacturer,"Manufacturer of industrial instruments.  Products include accelerometers, balances, barometers, gages, indicators, transducers, calibration instruments, monitors, scales, swtiches, and sensors.",,,$250 Mil. and over,1000+  Employees,"Gauges: Electronic
Gauges
Gauges: Absolute Pressure
Gauges: Air Pressure
Gauges: Automatic Control


Gauges: Compound
Gauges: Differential Pressure
Gauges: Digital Pressure
Gauges: Gas Pressure
Gauges: High Pressure

View all Gages categories","All Products / Services

Accelerometers
Automation Systems
Balances
Barometers
Calibrators
Cells
Displays
Gages
Indicators
Instruments


Measuring Equipment
Meters
Monitors
Processors
Readout Systems
Recorders
Scales
Sensors / Detectors / Transducers
Switches
Transmitters"
Kell-Strom,860-529-6851,https://www.kell-strom.com/,"Wethersfield, CT 06109",Manufacturer,"Manufacturer Of Hand Tools, Torque Wrenchs; Machine Work Service",,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Brake
Gauges: Precision


Gauges: Pressure
Gauges: Tire Pressure
Gauges: Tire Pressure, Aircraft","All Products / Services

Abrasive Compounds / Media
Adapters
Aircraft Parts
Arbors
Assemblies
Bases
Baskets
Beakers
Bits
Blocks
Calipers


Cleaning Compounds and Chemicals
Cleaning Services
Clips
Covers
COVID-19 Response
Crimpers
Drafting Equipment
Drilling Services
Drivers
Fixtures
Gages

View all products / services offered"
"The Olander Company, Inc.",800-538-1500,https://www.olander.com/,"Sunnyvale, CA 94086 | Locations",Distributor,"Full line stocking distributor of standard & metric fasteners & electromechanical components for electronic, commercial & aerospace industries. Electromechanical components include bolts, inserts, nuts, pins, screws & washers. A wide range of products including adhesive accelerators & activators, adhesives, cable systems & extension cords, electronic assembly hardware such as external, split lockwashers & Sems, steel, aluminum & stainless steel hinge, keys, knobs, latches, Nitronic-60 inserts, non-metallic fasteners such as tie wraps, nylon flat washers, screws, nuts & thumb caps, nickel plated steel hole plugs, steel & stainless steel internal & external retaining rings, solid & semi-tubular & blind rivets, screwdrivers & bits & mag drivers are available. Capabilities include small minimum quantity orders, same day shipping, custom labeling & kitting.","The Olander Company, Inc. is a full line distributor of standard and metric fasteners, including commercial and specialty fasteners, precision hardware, electromechanical components, tools, adhesives, and wire management products. We have been proudly serving the Silicon Valley since 1962 and are proud to serve over 45 different countries as well.

The Olander Company carries an extensive in-house inventory with over 40,000 items in stock, including a broad inventory of Heli-Coil products, notably Nitronic 60 inserts. Due to the combination of our in-depth inventory and our technical expertise, we are able to service a vast variety of industries, including the semiconductor, medical device, aerospace, telecommunications, alternative energy, and robotics industries.

Keeping the satisfaction of our customers at the core of our business model, we are also proud to offer a Counter Sales/Will Call department, Vendor Managed Inventory (VMI) programs, as well as kitting, special orders, product More... application assistance, technical expertise, and same-day shipping. Less",www.linkedin.com/company/the-olander-company-inc-?trk=hb_tab_compy_id_2898942,$250 Mil. and over,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace


Gauges: Plug & Ring
Gauges: Pressure
Gauges: Pressure, Aircraft","All Products / Services

Accelerators
Activators
Adapters
Adhesives
Aluminum
Anti-Seize
Assemblies
Bags
Bearings
Belts
Bins
Bits


Blades
Bolts
Boxes
Brackets
Brass
Bulbs
Burners
Burnishers
Bushings
Buttons
Cabinets
Calipers

View all products / services offered"
Wolff Process Controls Ltd.,780-463-9527,https://www.jaronwolff.com/,"Edmonton, AB T6E5R2",Manufacturer,"Electronic, High Pressure, Indicating, Oil, Precision, Steam Gages",,,Not Available,1-9  Employees,"Gauges: Electronic
Gauges: High Pressure
Gauges: Indicating
Gauges: Oil


Gauges: Precision
Gauges: Steam
Gauges: Vacuum","All Products / Services

Gages"
"Standard Calibrations, Inc.",800-500-0804,https://www.standardcal.com/,"Chesapeake, VA 23320",Service Company,"Complete Marine & Industrial Electronic & Pneumatic Controls/Instrumentation Repair, Calibration & Sales Including: Boiler Controls, Valves & Final Control Elements, Gauges & Thermometers, Pneumatic Instrumentation, Propulsion System Controls, Air Reducing Valves, Air Piping Systems Including Hot Water Flushing, Tank Level & Ballast Controls; Also Location & Sales Of Hard-To-Find Items, Repairs Parts. Shop & In-Field Service",,,$10 - 24.9 Mil,50-99  Employees,"Gauges: Electronic
Gauges
Gauges: Differential Pressure
Gauges: Indicating
Gauges: Liquid Level


Gauges: Pressure
Gauges: Tank Level
Gauges: Vacuum
Gauges: Water Level","All Products / Services

Automation Systems
Calibration Services
Calibrators
Controls and Controllers
Gages
Indicators


Instruments
Maintenance and Repair Services
Meters
Thermometers
Valves"
Systech Instrumentation Inc.,888-797-8324,http://www.systechinst.com,"Calgary, AB T2E7E1",Manufacturer,,,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: High Pressure
Gauges: Indicating
Gauges: Oil


Gauges: Precision
Gauges: Steam
Gauges: Vacuum","All Products / Services

Gages"
"EMRA Controls, Inc.",800-351-0293,https://emracontrols.com/,"Auburn, WA 98001",Manufacturers' Rep,"Electrical & electronic sales of OEM batteries, temperature controls & sensors, thermocouples & RTD's, liquid level sensors, floats & controls, high power relays, circuit breakers, float switches, blowers, portable & fixed doppler flow meters, ultrasonic level sensors, cord grips & strain relief connectors, hubs, safety switches, light curtains, pressure transducers, current sensors, smart-eye photo electric eye's & UV sensors, high speed photo-eye's, cube & din rail timers, microprocessor controls, custom transformers, proximity sensors, Ul/CSA/VDE, ISO 9001 & RoHs compliant.","For over 20 years, the technical personnel at EMRA Controls have provided technical assistance to our customers and potential customers. We service OEMs, engineers, manufacturing companies, system integrators and industrials. 

Our area of specialty is industrial electrical and electronic control and automation components.

We invite you to request information (always free or drop us a note or email. Your comments and suggestions are always welcome.

We hope you find your visit to our website informative and enjoyable.",,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Absolute Pressure


Meters: Pressure
Pressure Meters: Digital
Pressure Meters: Intrinsically Safe","All Products / Services

Actuators
Ammeters
Bases
Batteries
Calibration Services
Chips
Cold Chain Equipment
Combiners
Connectors
Contactors
Controls and Controllers
Cores


Couplants
Curtains
Data Acquisition Systems
Data Loggers
Disconnects
Electric Wire, Cable and Cable Assemblies
Elevator Parts
Fiber Optic Cable and Cable Assemblies
Flowmeter Components
Flowmeters
Gages
Grips

View all products / services offered"
"Shop Supply & Tool Co., Inc",888-900-5103,http://www.shopsupply.net,"Mentor, OH 44060 | Locations",Distributor,"Distributor of industrial cutting tools and supplies. Various tools and supplies include abrasives, fluids, machinery, plant and safety equipment, material handling supplies and cutting, hand, measuring, power and work holding tools. Adhesives, adapters, aprons, bandages, batteries, blades, brushes, bushings, cabinets, carts, casters, cleaners, cranes, dies, drivers, dusters, files, finders, gages, gloves, hammers, hoists, indicators, knives, lubricants, magnifiers, meters, pullers, rods, scissors, seating, stations, tapes, trays, wheels and wrenches are also available.","Locally owned and operated, Shop Supply & Tool Company began as a small industrial supply company founded by Otto Pretzlaff in 1965. His daughter, Erika, purchased the small company in 1991. Over the years, the company has seen tremendous growth in strength and operating capabilities. What began as a small industrial supply company servicing local customers has grown into two fully stocked locations servicing companies nationwide. 

Customer satisfaction is our number one priority. Our knowledgeable, friendly sales staff is always available to answer your questions, provide technical information, and help with special orders. Outstanding service, quality tooling and competitive pricing are what you can expect from Shop Supply & Tool Company.",,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Bore
Gauges: Chamfer
Gauges: Countersink


Gauges: Depth Measuring & Indicating, For Liquids
Gauges: Fowler
Gauges: Height
Gauges: Mahr
Gauges: Measuring

View all Gages categories","All Products / Services

Abrasive Compounds / Media
Adapters
Adhesives
Alumina (Aluminum Oxide)
Anchors
Antacids
Antibiotics
Antiseptics
Applicators
Aprons


Arbors
Bars
Bases
Batteries
Belts
Benches
Benders
Bevelers
Binders
Bins

View all products / services offered"
"Reef Tool & Gage Co., Inc.",586-468-3000,http://reeftoolandgage.net,"Clinton Township, MI 48036",Manufacturer,"Manufacturer of precision hydraulic work holding devices. Products include fixtures, electronic and air gages, adjustable and dial form gages, hydraulic arbors and chucks.",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Air


Gauges: Hydraulic
Gauges: Industrial
Gauges: Precision","All Products / Services

Arbors
Chucks and Collets
Fixtures
Gages


Hydraulic Equipment
Tool and Die Services
Workholding Systems"
Trulok,310-640-6123,https://www.trulok.com/,"El Segundo, CA 90245-5005",Manufacturer,"TRULOK™ Manual & Digital Precision Measuring Instruments For The Aerospace, Medical & Automotive Industries. Products Include: Angularity Gages, Bore Gages, Chamfer Gages, Countersink Gages, Diameter Gages, Depth Gages, Flushness Gages, Gap Gages, Grip Gages, Groove Gages, Hole Gages, Perpendicularity Gages, Ring Gages, Rivet Height Gages & Set Blocks. TRULOK™ Measuring Instruments Can Be Custom Tailored To Requirements",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Angular Measuring
Gauges: Bore
Gauges: Chamfer


Gauges: Coating Thickness
Gauges: Concentricity
Gauges: Countersink
Gauges: Eccentricity
Gauges: Flatness

View all Gages categories","All Products / Services

Blanks
Calibration Services
Countersinks


Gages
Instruments
Maintenance and Repair Services"
"Jus-Rite Engineering, Inc.",574-522-9600,https://jrecorp.com/,"Elkhart, IN 46516",Manufacturer,Designers & Builders Of Precision Fixture Gages Specializing In Die cast Machined Parts. Complete Turnkey Gaging Systems With S.P.C. Data Gathering Equipment. Designed On AutoCAD. CMM Staging Fixtures. JIT Delivery. Target Fixture Gages. Fixture Gage Repair & Recertification.,,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Concentricity
Gauges: Custom


Gauges: Dimensional
Gauges: Precision
Gauges: Wire","All Products / Services

Casting Services
Custom Machinery
Gages


Maintenance and Repair Services
Research, Design and Development Services"
Layke Tool & Manufacturing Co.,814-333-1169,https://www.layketool.com/,"Meadville, PA 16335",Manufacturer,"CAD Design, Utilizing Solid Modeling 3-D CAD Software. Precision Machining With Closely Held Tolerances. Design & Manufacturer Of Fixtures, Precision Gages, Airfoil Encapsulation Dies, Forge Dies & Specialized Machinery For The Aerospace, Automotive, Medical & Casting Industries",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: Airfoil


Gauges: Custom
Gauges: Dimensional
Gauges: Precision","All Products / Services

Fixtures


Gages"
Dynalco,323-589-6181,https://www.dynalco.com/,"Fort Lauderdale, FL 33309",Manufacturer,"Manufacturers Of Electronic Monitoring, Control & Diagnostic Products For Industrial Engines & Compressors. Many Products Are Signal-Powered, Intrinsically Safe & Third Party Approved. Analyze Mechanical Condition, Performance & Vibration Of Reciprocating Engines, Compressors & Rotating Equipment With Portable Diagnostic Instruments & Windows ™ Software. Diagnostic Products Include: RECIP-TRAP, DIESEL-TRAP, BETA-TRAP, M-HEALTH. Fully Integrated Automation Systems Monitor & Control Engines & Compressors From A Single Console. Automation Products Include: TEC-9000, EAS, ECP. Control Systems Include Inductive & Capacitor Discharge Ignition Systems, Governors & Air/Fuel Ratio Controls. Ignition Products Include: DCSI-98, DCSC-98.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Custom
Gauges: Indicating
Gauges: Marine


Gauges: Precision
Gauges: Pressure
Gauges: Process
Meters: Pressure
Pressure Meters: Digital","All Products / Services

Agricultural Equipment
Alarms
Analytical Services
Analyzers
Annunciators
Automation Systems
Balancers
Balancing Services
Barometers
Barriers


Calibrators
Coils
Cold Chain Equipment
Communication Systems
Compressor Parts
Compressors
Controls and Controllers
Converters
Counters
COVID-19 Response

View all products / services offered"
"Vacuubrand, Inc.",888-882-6730,https://www.vacuubrand.com/en/,"Essex, CT 06426",Manufacturer,"Privately-held manufacturer of vacuum pumps, gauges and controllers, specializing in oil-free vacuum pumps for laboratory & OEM applications, as well as larger vacuum systems for scale-up and small process applications. Products range from compact rotary vane pumps, hybrid pumps & solvent capturing pumps, to oil-free (dry) vacuum pumps that are self-regulating & energy-saving & adaptable to custom OEM applications. Available products also include vacuum valves & valve components, controllers, vacuum gages, aspiration systems, software & accessories. Sensors, adapters, & cables are available, along with vacuum pumps for drying chambers, ovens, concentrators, gel dryers, evaporators, filtration, lyophilizers, separators & local vacuum networks suitable for lab renovations or new construction. Calibrating services are also available.","Vacuubrand manufactures vacuum pumps, systems, gauges, and controllers. For over 50 years, the company has been dedicated to innovations in vacuum for science applications - for scientists in labs and pilot plants, for OEM manufacturers of scientific instrumentation, and for the construction of modular vacuum networks for labs that deliver high-performance scientific vacuum to the bench-top and fume hood ports.

Vacuubrand pumps are recognized for their quiet, low-vibration, energy-efficient operation. The pumps and systems also feature exceptionally long service intervals and can be adapted by our engineering team for integration into your vacuum-dependent systems. We specialize in pumps for corrosive applications, and in advanced vacuum controls for process optimization. Our multi-user, modular vacuum networks offer a space-efficient, energy-saving, high-performance alternative to dedicated pumps and central vacuum systems. 

Vacuubrand is proud of its record of environmental stewardship. More... We capture and use waste factory heat, reprocess all factory lubricants, design our own biodegradable packaging, and isolate and recycle dozens of categories of manufacturing by-products. We design systems that enhance the energy-efficiency of our customers' operations and introduced to the industry accessories that permit capture of exhaust vapors from vacuum applications to reduce building emissions. Less",www.linkedin.com/company-beta/1981835,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges
Gauges: Precision
Gauges: Precision, Wireless
Gauges: Pressure


Gauges: Vacuum
Gauges: Vacuum, Digital
Meters: Pressure
Pressure Meters: Digital","All Products / Services

Aspirators
Controls and Controllers
COVID-19 Response
Engineering Services
Filters
Fittings
Gages
Instruments
Laboratory Equipment
Lyophilizers


Measuring Equipment
Medical Laboratory Consumable Supplies
Medical Products and Hospital Equipment
Oils
Pumping Systems
Pumps
Traps
Vacuum Components
Vacuum Systems
Valves"
"GreCon, Inc.",503-641-7731,http://www.grecon-us.com,"Tigard, OR 97224",Manufacturer,"ISO 9001 certified manufacturer of spark detection & extinguishing systems, online quality assurance measuring systems & laboratory quality assurance measuring systems. Products include spark detector sensors, control consoles, abort gates, booster pumps, integrated spark & fire suppression systems, bond analyzers, thickness gauges, infrared moisture meters, microwave moisture meters, material distribution scanners, weight per unit area gauges & raw density profile gauges. Products such as plug-up detection systems, surface inspection systems, formaldehyde emissions analyzers, density profile measuring systems & mechanical strength testers are available. Markets served include wood, processing, biomass & bioenergy, chemical, foundry, food, tobacco, agricultural, feed & grain, rubber & nonwovens.","Since 1911, GreCon has created and applied innovative technology to maximize production. Our goal remains to assist our customers by providing technologically advanced equipment to ensure safer facilities, optimized production, and verifiable product quality to their customers. 

Headquartered in Alfeld, Germany, GreCon offers global service, the latest in research and development, and has distribution capabilities from three sister companies and multiple agents around the world, including GreCon, Inc., the North American headquarters based in Tigard, Oregon.

GreCon is an ISO 9001 company and Factory Mutual Approved manufacturer of Spark Detection and Extinguishment Systems. GreCon also offers technologically advanced measuring equipment. Our commitment to customer service includes a complete parts inventory, factory-trained technicians and repair services for the US, Canada, and Mexico, as well as 24 hour, 7 days-a-week emergency service.",,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Contact
Gauges: Continuous Process


Gauges: Non-Contact
Gauges: Profile
Gauges: Thickness
Gauges: Ultrasonic Thickness","All Products / Services

Analyzers
Arresters
Cells
Consoles
Controls and Controllers
Conveyors
Densimeters
Extinguishers
Gages
Gates
Handling Equipment


Indicators
Inspection Equipment
Instruments
Measuring Equipment
Meters
Protectors
Pumps
Quality Assurance Systems
Recorders
Safety Equipment
Scales

View all products / services offered"
Jonard Industries Corp.,914-793-0700,https://jonard.com/,"Tuckahoe, NY 10707",Manufacturer,"Manufacturer Of Complete Line Of High Tech Precision Hand Tools For Telecom, Aerospace, Business Office, Computer & Electronics. Gauges, Wrapping Tools, Telecommunication Tools, Specialty Pliers & Tools, Tool Kits, Burnishers, Extraction Tools, Adjusters, Alignment & Connector Tools",,,Under $1 Mil,50-99  Employees,"Gauges: Electronic
Gauges: Brush Tension
Gauges: Compression
Gauges: Custom
Gauges: Dial


Gauges: Double Scale
Gauges: Feeler
Gauges: Force Measuring
Gauges: Needle Force
Gauges: Precision

View all Gages categories","All Products / Services

Abrasive Compounds / Media
Adjusters
Bits
Brushes
Burnishers
Calibrators
Cams
Cases
Ceramic Products
Chemicals


Cleaning Compounds and Chemicals
Clips
Connectors
Crimpers
Cutters and Cutting Machinery
Dials
Drivers
Dynamometers
Electric Wire, Cable and Cable Assemblies
Elevator Parts

View all products / services offered"
"Unique Lift Parts, Inc.",800-247-4057,https://uniqueliftparts.com/,"Silverdale, PA 18962",Distributor,"Distributor of forklift parts, accessories & safety equipment. Various products include forklift parts for all brands, rebuilt motors, rebuilt drive units, rebuilt electronic controls, magliner hand trucks, safety & dock equipment, electrical supplies, hydraulic components, jacks, forklift attachments, hose reels, forklift tires & wheels, pumps, drives, axles, brakes, forks, gears, seals, pull rods, new motors, brushes, armatures, starters, alternators, sweeper/scrubber parts, battery watering systems, battery changing systems, bearings, cables & wires, crimping tools & hand trucks.",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges


Gauges: Industrial","All Products / Services

Alarms
Alternators
Armatures
Attachments
Axles
Balls
Batteries
Bearings
Belts
Boards
Brakes
Brushes
Bumpers


Cards
Chargers
Chocks
Connectors
Contacts
Controls and Controllers
Crimpers
Cylinders
Docks
Electric Wire, Cable and Cable Assemblies
Electrical Equipment
Engine Parts
Extinguishers

View all products / services offered"
"Kemkraft Engineering, Inc.",734-414-6500,http://www.kemkraft.com,"Plymouth, MI 48170",Manufacturer,"Electronic Instrumentation & Electro-Mechanical Test System Engineering & Manufacturing Including Analog, Digital, Microprocessor & Microcomputer Circuitry Design, Technical Manuals, Schematics, P.C.B. Designs & Layouts On CAD Systems, Instrumentation Tool Design, Software For Test Systems, Training Electronic/Electro-Mechanical Assembly Tool Manufacturing & Assembly Cable & Wire Harness Assembly",,,Under $1 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Automotive


Gauges: Custom
Gauges: Indicating","All Products / Services

Assemblies
Calibrators
Connectors
Controls and Controllers
Data Acquisition Systems
Gages
Harnesses
Inclinometers


Indicators
Instruments
Levels
Measuring Equipment
Printed Circuit Boards
Sensors / Detectors / Transducers
Testers
Testing Services"
Lawrence Electronics Co.,206-243-7310,https://lawrence-electronics.com/index.html,"Seattle, WA 98166",Manufacturer,Manufacturer Of Hydrogen,,,Under $1 Mil,1-9  Employees,Gauges: Electronic,"All Products / Services

Gages
Inspection Equipment
Instruments


Sensors / Detectors / Transducers
Testers"
"King - Electronic Controlled Systems, Inc.",800-982-9920,https://kingconnect.com/,"Bloomington, MN 55438",Manufacturer,Mobile Stellite Tracking Systems,,,$10 - 24.9 Mil,50-99  Employees,Gauges: Electronic,"All Products / Services

Controls and Controllers
Gages
Governors


Research, Design and Development Services
Satellite Systems
Switches"
"JM Test Systems, Inc.",800-353-3411,https://jmtest.com/,"Baton Rouge, LA 70806",Distributor,Distributor Of Electronic Testing Equipment; Instrument Repair & Calibration Service,,,$10 - 24.9 Mil,100-199  Employees,"Gauges: Electronic
Gauges: Air Pressure
Gauges: American Gauge Design (AGD) Standard
Gauges: Bourdon Tube
Gauges: Carbide


Gauges: Compression
Gauges: Custom
Gauges: Cylindrical
Gauges: Deadweight
Gauges: Diameter

View all Gages categories","All Products / Services

Blocks
Calibration Services
Calibrators
Comparators
Flowmeters
Gages
Indicators
Inspection Services
Laboratories
Maintenance and Repair Services


Masters
Measuring Equipment
Megohmmeters
Meters
Metrology Services
Presses
Scales
Testers
Testing Services
Thermocouples

View all products / services offered"
"Stark Industrial, LLC",800-362-9732,https://www.starkindustrial.com/,"North Canton, OH 44720",Custom Manufacturer,"ISO 9001:2000 certified manufacturer of precision metal parts & specialty cutting tools. Customers cover a wide spectrum of industry including process control, aerospace, medical, canning/food processing & agriculture. Also design & manufacture special cutting tools including step drills, form tools, form end mills & other special shapes to fit any application. Capabilities include machining services that include CNC turning, CNC milling, CNC grinding (cylindrical & non-round), CNC tool & cutter grinding, wire EDM, micro/small hole drilling, TiG welding & induction brazing. Also distributors of complex dimensional precision measuring tools including hand gages, form tracing, roundness testing, laser gaging & microscopy.",,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: American Gauge Design (AGD) Standard
Gauges: Angular Measuring
Gauges: Bore
Gauges: Carbide


Gauges: Chamfer
Gauges: Coating Thickness
Gauges: Comparator
Gauges: Concentricity
Gauges: Custom

View all Gages categories","All Products / Services

Attachments
Bits
Blocks
Boring Machinery
Broaches
Broaching Services
Bushings
Calipers
Carbide Cutting Tools
Centers


Chasers
Chucks and Collets
Comparators
Countersinks
COVID-19 Response
Cutters and Cutting Machinery
Deburring Equipment
Drilling Services
Drills
Gages

View all products / services offered"
Gauge-Rite,519-737-1988,http://www.gaugerite.com,"Windsor, ON N9A6J3",Manufacturer,,,,Not Available,Not Available  Employees,"Gauges: Electronic


Gauges: Precision","All Products / Services

Gages"
